DATE	WPU083
1947	47.9
1947.08	48.2
1947.16	48.2
1947.25	48.6
1947.34	48.7
1947.42	48.7
1947.5	45.7
1947.58	45.7
1947.66	45.7
1947.75	45.7
1947.83	45.8
1947.92	46.9
1948	51.8
1948.08	51.8
1948.16	52.1
1948.25	52.2
1948.34	53.0
1948.42	53.9
1948.5	54.6
1948.58	54.8
1948.66	54.8
1948.75	54.8
1948.83	54.8
1948.92	54.3
1949	49.6
1949.08	49.0
1949.16	49.0
1949.25	48.7
1949.34	47.0
1949.42	45.1
1949.5	44.5
1949.58	45.2
1949.66	45.0
1949.75	45.5
1949.83	46.1
1949.92	47.0
1950	48.3
1950.08	49.2
1950.16	49.5
1950.25	49.5
1950.34	49.6
1950.42	50.0
1950.5	51.1
1950.58	54.3
1950.66	56.0
1950.75	56.7
1950.83	56.7
1950.92	57.4
1951	57.7
1951.08	57.9
1951.16	57.9
1951.25	57.9
1951.34	57.9
1951.42	57.9
1951.5	57.5
1951.58	57.5
1951.66	56.5
1951.75	56.2
1951.83	53.8
1951.92	50.5
1952	51.2
1952.08	51.5
1952.16	51.9
1952.25	51.9
1952.34	51.9
1952.42	52.0
1952.5	52.0
1952.58	52.1
1952.66	52.1
1952.75	52.2
1952.83	50.3
1952.92	50.3
1953	53.4
1953.08	54.5
1953.16	55.1
1953.25	55.1
1953.34	55.3
1953.42	55.3
1953.5	55.4
1953.58	55.3
1953.66	52.5
1953.75	51.5
1953.83	50.7
1953.92	51.1
1954	50.9
1954.08	51.6
1954.16	50.6
1954.25	49.5
1954.34	49.8
1954.42	49.0
1954.5	50.7
1954.58	51.8
1954.66	50.7
1954.75	51.3
1954.83	51.3
1954.92	51.3
1955	51.5
1955.08	51.5
1955.16	51.5
1955.25	51.5
1955.34	51.9
1955.42	51.9
1955.5	52.0
1955.58	52.0
1955.66	52.2
1955.75	52.2
1955.83	52.1
1955.92	52.0
1956	52.8
1956.08	52.8
1956.16	52.8
1956.25	52.6
1956.34	50.5
1956.42	49.6
1956.5	50.8
1956.58	48.8
1956.66	48.8
1956.75	47.2
1956.83	46.6
1956.92	46.5
1957	47.7
1957.08	47.4
1957.16	47.3
1957.25	47.5
1957.34	47.6
1957.42	48.0
1957.5	47.6
1957.58	46.8
1957.66	46.6
1957.75	47.6
1957.83	47.4
1957.92	47.0
1958	47.0
1958.08	46.0
1958.16	45.7
1958.25	46.4
1958.34	45.4
1958.42	46.7
1958.5	48.3
1958.58	49.2
1958.66	50.1
1958.75	50.5
1958.83	49.2
1958.92	48.7
1959	49.0
1959.08	51.0
1959.16	51.1
1959.25	52.4
1959.34	52.4
1959.42	51.7
1959.5	50.3
1959.58	49.6
1959.66	47.5
1959.75	47.4
1959.83	46.4
1959.92	47.8
1960	48.3
1960.08	47.7
1960.16	47.1
1960.25	47.2
1960.34	47.0
1960.42	47.0
1960.5	47.0
1960.58	46.6
1960.66	47.4
1960.75	47.7
1960.83	47.2
1960.92	46.7
1961	45.1
1961.08	44.6
1961.16	45.2
1961.25	48.7
1961.34	47.8
1961.42	47.8
1961.5	47.8
1961.58	46.8
1961.66	46.1
1961.75	44.7
1961.83	45.0
1961.92	44.8
1962	44.5
1962.08	44.8
1962.16	45.5
1962.25	45.5
1962.34	44.5
1962.42	44.8
1962.5	44.6
1962.58	44.5
1962.66	44.5
1962.75	44.4
1962.83	44.2
1962.92	43.6
1963	43.7
1963.08	43.7
1963.16	44.0
1963.25	43.9
1963.34	43.9
1963.42	44.7
1963.5	48.7
1963.58	50.3
1963.66	44.7
1963.75	44.6
1963.83	44.7
1963.92	44.6
1964	44.0
1964.08	44.5
1964.16	45.7
1964.25	45.8
1964.34	45.5
1964.42	44.7
1964.5	44.6
1964.58	44.3
1964.66	44.3
1964.75	44.0
1964.83	43.8
1964.92	43.6
1965	45.6
1965.08	44.9
1965.16	44.5
1965.25	44.4
1965.34	44.1
1965.42	43.7
1965.5	43.9
1965.58	45.7
1965.66	45.1
1965.75	44.2
1965.83	44.3
1965.92	44.5
1966	45.4
1966.08	45.4
1966.16	47.2
1966.25	49.5
1966.34	48.4
1966.42	44.5
1966.5	44.2
1966.58	43.5
1966.66	43.1
1966.75	42.6
1966.83	42.0
1966.92	42.2
1967	42.2
1967.08	43.1
1967.16	42.3
1967.25	42.4
1967.34	42.3
