Date	Real GDP
1947	2034.45
1947.25	2029.024
1947.5	2024.834
1947.75	2056.508
1948	2087.442
1948.25	2121.899
1948.5	2134.056
1948.75	2136.44
1949	2107.001
1949.25	2099.814
1949.5	2121.493
1949.75	2103.688
1950	2186.365
1950.25	2253.045
1950.5	2340.112
1950.75	2384.92
1951	2417.311
1951.25	2459.196
1951.5	2509.88
1951.75	2515.408
1952	2542.286
1952.25	2547.762
1952.5	2566.153
1952.75	2650.431
1953	2699.699
1953.25	2720.566
1953.5	2705.258
1953.75	2664.302
1954	2651.566
1954.25	2654.456
1954.5	2684.434
1954.75	2736.96
1955	2815.134
1955.25	2860.942
1955.5	2899.578
1955.75	2916.985
1956	2905.656
1956.25	2929.666
1956.5	2927.034
1956.75	2975.209
1957	2994.259
1957.25	2987.699
1957.5	3016.979
1957.75	2985.775
1958	2908.281
1958.25	2927.395
1958.5	2995.112
1958.75	3065.141
1959	3123.978
1959.25	3194.429
1959.5	3196.683
1959.75	3205.79
1960	3277.847
1960.25	3260.177
1960.5	3276.133
1960.75	3234.087
1961	3255.914
1961.25	3311.181
1961.5	3374.742
1961.75	3440.924
1962	3502.298
1962.25	3533.947
1962.5	3577.362
1962.75	3589.128
1963	3628.306
1963.25	3669.02
1963.5	3749.681
1963.75	3774.264
1964	3853.835
1964.25	3895.793
1964.5	3956.657
1964.75	3968.878
1965	4064.915
1965.25	4116.267
1965.5	4207.782
1965.75	4304.731
1966	4409.518
1966.25	4424.581
1966.5	4462.053
1966.75	4498.66
1967	4538.498
1967.25	4541.28
1967.5	4584.246
1967.75	4618.812
1968	4713.013
1968.25	4791.758
1968.5	4828.892
1968.75	4847.885
1969	4923.76
1969.25	4938.728
1969.5	4971.349
1969.75	4947.104
1970	4939.759
1970.25	4946.77
1970.5	4992.357
1970.75	4938.857
1971	5072.996
1971.25	5100.447
1971.5	5142.422
1971.75	5154.547
1972	5249.337
1972.25	5368.485
1972.5	5419.184
1972.75	5509.926
1973	5646.286
1973.25	5707.755
1973.5	5677.738
1973.75	5731.632
1974	5682.353
1974.25	5695.859
1974.5	5642.025
1974.75	5620.126
1975	5551.713
1975.25	5591.382
1975.5	5687.087
1975.75	5763.665
1976	5893.276
1976.25	5936.515
1976.5	5969.089
1976.75	6012.356
1977	6083.391
1977.25	6201.659
1977.5	6313.559
1977.75	6313.697
1978	6333.848
1978.25	6578.605
1978.5	6644.754
1978.75	6734.069
1979	6746.176
1979.25	6753.389
1979.5	6803.558
1979.75	6820.572
