Date	Real GDP
1990	9364.259
1990.25	9398.243
1990.5	9404.494
1990.75	9318.876
1991	9275.276
1991.25	9347.597
1991.5	9394.834
1991.75	9427.581
1992	9540.444
1992.25	9643.893
1992.5	9739.185
1992.75	9840.753
1993	9857.185
1993.25	9914.565
1993.5	9961.873
1993.75	10097.362
1994	10195.338
1994.25	10333.495
1994.5	10393.898
1994.75	10512.962
1995	10550.251
1995.25	10581.723
1995.5	10671.738
1995.75	10744.203
1996	10824.674
1996.25	11005.217
1996.5	11103.935
1996.75	11219.238
1997	11291.665
1997.25	11479.33
1997.5	11622.911
1997.75	11722.722
1998	11839.876
1998.25	11949.492
1998.5	12099.191
1998.75	12294.737
1999	12410.778
1999.25	12514.408
1999.5	12679.977
1999.75	12888.281
2000	12935.252
2000.25	13170.749
2000.5	13183.89
2000.75	13262.25
2001	13219.251
2001.25	13301.394
2001.5	13248.142
2001.75	13284.881
2002	13394.91
2002.25	13477.356
2002.5	13531.741
2002.75	13549.421
2003	13619.434
2003.25	13741.107
2003.5	13970.157
2003.75	14131.379
2004	14212.34
2004.25	14323.017
2004.5	14457.832
2004.75	14605.595
2005	14767.846
2005.25	14839.707
2005.5	14956.291
2005.75	15041.232
2006	15244.088
2006.25	15281.525
2006.5	15304.517
2006.75	15433.643
2007	15478.956
2007.25	15577.779
2007.5	15671.605
2007.75	15767.146
2008	15702.906
2008.25	15792.773
2008.5	15709.562
2008.75	15366.607
2009	15187.475
2009.25	15161.772
2009.5	15216.647
2009.75	15379.155
2010	15456.059
2010.25	15605.628
2010.5	15726.282
2010.75	15807.995
2011	15769.911
2011.25	15876.839
2011.5	15870.684
2011.75	16048.702
2012	16179.968
2012.25	16253.726
2012.5	16282.151
2012.75	16300.035
2013	16441.485
2013.25	16464.402
2013.5	16594.743
2013.75	16712.76
2014	16654.247
2014.25	16868.109
2014.5	17064.616
2014.75	17141.235
2015	17280.647
2015.25	17380.875
2015.5	17437.08
2015.75	17462.579
2016	17565.465
2016.25	17618.581
2016.5	17724.489
2016.75	17812.56
2017	17889.094
2017.25	17979.218
2017.5	18127.994
2017.75	18310.3
2018	18437.127
2018.25	18565.697
2018.5	18699.748
2018.75	18733.741
2019	18835.411
2019.25	18962.175
2019.5	19130.932
2019.75	19215.691
2020	18989.877
2020.25	17378.712
2020.5	18743.72
2020.75	18924.262
2021	19216.224
2021.25	19544.248
2021.5	19672.594
2021.75	20006.181
2022	19924.088
2022.25	19895.271
2022.5	20054.663
2022.75	20187.495
